,open,high,low,close,adjclose,volume,ticker,future
1997-09-08,0.00031729523440185447,0.00044297502085389426,0.00034070915416290685,0.0004544311711375486,0.0004544311711375486,0.04970243254174612,AMZN,0.0006875484885152954
1997-09-09,0.0004891634863695256,0.0005456513975481195,0.0004916373549052872,0.0005223007408000862,0.0005223007408000862,0.08170104581961057,AMZN,0.0008586979173847484
1997-09-10,0.00053763914718092,0.0005295165230058858,0.0005200297616170684,0.0005400058518024558,0.0005400058518024558,0.03254174611428902,AMZN,0.000885255583888303
1997-09-11,0.0005435149624404865,0.0005309833053660916,0.0004961203700916412,0.0004986939486434727,0.0004986939486434727,0.036355231987057264,AMZN,0.0008793538351944207
1997-09-12,0.0005023841211362696,0.0006336596820603166,0.0005289957919897765,0.0006491873921636149,0.0006491873921636149,0.027410874212746288,AMZN,0.0010283718077712732
1997-09-15,0.0006375284100553051,0.0006277924183295085,0.0004991090012789552,0.0004809888376411031,0.0004809888376411031,0.04907840758074768,AMZN,0.0008144351398788242
1997-09-16,0.0004847566081139443,0.0005896555398042179,0.0005185354460234114,0.0005547601559975229,0.0005547601559975229,0.05724851216270874,AMZN,0.0010062404190183112
1997-09-17,0.000578769988485137,0.0005779210794875941,0.0005798032746333278,0.0005695143926529514,0.0005695143926529514,0.02041948344600451,AMZN,0.0011316516669781884
1997-09-18,0.0005728941732255705,0.0005691202510363744,0.0005648599134806088,0.0005370550449951533,0.0005370550449951533,0.015808632345293814,AMZN,0.0010564049452181177
1997-09-19,0.0005567355972072304,0.0007422032553403575,0.000591758004598733,0.0007229587105200347,0.0007229587105200347,0.08129658519674121,AMZN,0.0010446015829096299
1997-09-22,0.0007315417904264977,0.0009094189959135324,0.0007561352509001753,0.0008793538351944207,0.0008793538351944207,0.15842144796902988,AMZN,0.0010416506410230505
1997-09-23,0.0008696240205971293,0.0009006181674623126,0.0008846483757107855,0.00091476405719916,0.00091476405719916,0.06928988270641938,AMZN,0.0010091913609048906
1997-09-24,0.0009136928031529424,0.0009475558744388229,0.0008547615165945811,0.0008439436131896814,0.0008439436131896814,0.0742820823944069,AMZN,0.0009855845012086387
1997-09-25,0.0008284931120492865,0.0008184770123909385,0.0007860220416109966,0.0007598443359284253,0.0007598443359284253,0.0431501704512625,AMZN,0.0009250920836436349
1997-09-26,0.0007521071774567933,0.0007920745270372793,0.0007860220416109966,0.0007849265314886902,0.0007849265314886902,0.021609753279020052,AMZN,0.0008734520865005384
1997-09-29,0.0007726726989743405,0.0007715393054144282,0.0007591238820874893,0.0007495163094839507,0.0007495163094839507,0.01814294794013983,AMZN,0.0007967300288764546
1997-09-30,0.0007315417904264977,0.0008170102971757252,0.0007142937302239491,0.0008336155867452068,0.0008336155867452068,0.04591205870457041,AMZN,0.0007229587105200347
1997-10-01,0.0008549343815827744,0.0008595475899266256,0.0007531465513074784,0.0007436146958693456,0.0007436146958693456,0.04345062691396545,AMZN,0.0006727941843202285
1997-10-02,0.0007432934209456307,0.0007686057406940167,0.0007680899124601974,0.000740663753982766,0.000740663753982766,0.01338186860807766,AMZN,0.0006978764474201315
1997-10-03,0.0007550451859520153,0.0007539376485119888,0.0007651012812728836,0.0007421392249260557,0.0007421392249260557,0.006517594037094818,AMZN,0.0007849265314886902
1997-10-06,0.0007315417904264977,0.0007539376485119888,0.0007546408669011354,0.0007731231691802026,0.0007731231691802026,0.01483792685040735,AMZN,0.0008439436131896814
1997-10-07,0.0007550451859520153,0.0007715393054144282,0.0007830332736129165,0.0007539425872345433,0.0007539425872345433,0.012087594614895707,AMZN,0.0008557469754981688
1997-10-08,0.0007726726989743405,0.0007656720416836201,0.0007665955968665404,0.0007391884181187533,0.0007391884181187533,0.0223377824001849,AMZN,0.0008823046420017234
1997-10-09,0.0007315417904264977,0.000724601598437918,0.0006963616694785328,0.0006668925031659846,0.0006668925031659846,0.03335066736002774,AMZN,0.0009029606948906726
1997-10-10,0.0006551559230776303,0.0007363359916095493,0.0006754409775458027,0.0007096798772682574,0.0007096798772682574,0.03177904893973537,AMZN,0.0008764030283871181
1997-10-13,0.0007109763361525764,0.0007304687278787412,0.0007501578517147813,0.0007377129471754633,0.0007377129471754633,0.0031547928583810017,AMZN,0.0008026316424910599
1997-10-14,0.000749169303448823,0.0007480703847811806,0.0007232597605966571,0.0007318112660212197,0.0007318112660212197,0.010203963714104121,AMZN,0.0007952545579331649
1997-10-15,0.0007227280339153351,0.0007099335062558901,0.0007053276998512408,0.0007155815584225013,0.0007155815584225013,0.01799271970878835,AMZN,0.0008114841979922446
1997-10-16,0.0007256659751669313,0.0007128671381212942,0.0006575089168003866,0.0006314822811612453,0.0006314822811612453,0.02883226440168718,AMZN,0.0007731231691802026
1997-10-17,0.0006228387710409502,0.0006219252217436928,0.0006335994568695762,0.0006314822811612453,0.0006314822811612453,0.019714566360432197,AMZN,0.0008144351398788242
1997-10-20,0.0006404662840632754,0.0006835310209022309,0.0006754409775458027,0.0006875484885152954,0.0006875484885152954,0.0426185936326342,AMZN,0.0008041071134343496
1997-10-21,0.000719790092663739,0.0008419459330241861,0.0007292371597820512,0.0008586979173847484,0.0008586979173847484,0.1117929161610909,AMZN,0.0008409928063823788
1997-10-22,0.0008490584990795823,0.0008932840542263062,0.0008786709765253915,0.000885255583888303,0.000885255583888303,0.04546137401051598,AMZN,0.0008793538351944207
1997-10-23,0.0007961759600126064,0.000877149246829065,0.000824874794289143,0.0008793538351944207,0.0008793538351944207,0.04978332466631999,AMZN,0.0009059115016979753
1997-10-24,0.0009430719466944008,0.0010179625020485805,0.0009264897595762457,0.0010283718077712732,0.0010283718077712732,0.08671635754319063,AMZN,0.0009383709168954119
1997-10-27,0.0009577615857087555,0.0010032944098665529,0.000836829455849165,0.0008144351398788242,0.0008144351398788242,0.053966603108568795,AMZN,0.0009324691682015299
1997-10-28,0.000708038462144606,0.0010003608451461413,0.0007352144905620621,0.0010062404190183112,0.0010062404190183112,0.10816432657306294,AMZN,0.0008823046420017234
1997-10-29,0.0010547129073315445,0.0011411741003656568,0.001057991583979553,0.0011316516669781884,0.0011316516669781884,0.06393944646674757,AMZN,0.0009324691682015299
1997-10-30,0.0010723404203538697,0.0011001035228299697,0.0010699462455395748,0.0010564049452181177,0.0010564049452181177,0.041243427514878375,AMZN,0.0008911571975029081
1997-10-31,0.0011164092029096828,0.0011294397071940254,0.0010490255536068447,0.0010446015829096299,0.0010446015829096299,0.0437164153232796,AMZN,0.0009029606948906726
1997-11-03,0.00107527829436184,0.0010619666443046792,0.0010430481544214509,0.0010416506410230505,0.0010416506410230505,0.014560582423296935,AMZN,0.0008675504728859333
1997-11-04,0.0010135819987837017,0.001015028937328169,0.0010071840329306182,0.0010091913609048906,0.0010091913609048906,0.018085167851158494,AMZN,0.0008483698909402738
1997-11-05,0.0010077061162805094,0.0010340973094458217,0.0010221274624887208,0.0009855845012086387,0.0009855845012086387,0.02509967065349281,AMZN,0.0008203367534934295
1997-11-06,0.0009900786032581842,0.0009768919245128937,0.0009533878506943701,0.0009250920836436349,0.0009250920836436349,0.023366267984052697,AMZN,0.0008793538351944207
1997-11-07,0.0008490584990795823,0.0008991513179571144,0.0008816596077127053,0.0008734520865005384,0.0008734520865005384,0.020604379730744787,AMZN,0.0009354199750088323
1997-11-10,0.0008725618946050996,0.000877149246829065,0.000830852193474537,0.0007967300288764546,0.0007967300288764546,0.02193332177731554,AMZN,0.00091476405719916
1997-11-11,0.0008005828382681877,0.0008067426192193072,0.0007471692205274673,0.0007229587105200347,0.0007229587105200347,0.03684058473450049,AMZN,0.0009088623085052779
1997-11-12,0.0006683765578443742,0.0007715393054144282,0.0006754409775458027,0.0006727941843202285,0.0006727941843202285,0.0789276015485064,AMZN,0.000885255583888303
1997-11-13,0.0007168522186557686,0.0007099335062558901,0.0007053276998512408,0.0006978764474201315,0.0006978764474201315,0.03662102039637141,AMZN,0.0009501742792038995
1997-11-14,0.0007139142774041725,0.0007774065691452364,0.000708316399443938,0.0007849265314886902,0.0007849265314886902,0.05182873981625932,AMZN,0.0009782074166507439
1997-11-17,0.0007961759600126064,0.0008712819830982569,0.000833840824661851,0.0008439436131896814,0.0008439436131896814,0.0665164384353152,AMZN,0.0010268964719072605
1997-11-18,0.0008373068685604492,0.0008536803261958174,0.0008697049461526832,0.0008557469754981688,0.0008557469754981688,0.01327786444791125,AMZN,0.0010091913609048906
1997-11-19,0.0008461206250716118,0.0008654148536574337,0.0008607389157799752,0.0008823046420017234,0.0008823046420017234,0.019714566360432197,AMZN,0.0009501742792038995
1997-11-20,0.0008931272816353954,0.0008888836400006964,0.0009175237292035377,0.0009029606948906726,0.0009029606948906726,0.05234876061709135,AMZN,0.0009752564747641642
1997-11-21,0.0008872515336194545,0.0008830165105598732,0.0009115464668289097,0.0008764030283871181,0.0008764030283871181,0.02037325937481944,AMZN,0.0009590268347050842
1997-11-24,0.0008373068685604492,0.000836078669293378,0.000836829455849165,0.0008026316424910599,0.0008026316424910599,0.014757034725833479,AMZN,0.0009118132503918576
1997-11-25,0.0007991139685078284,0.0008126098829501153,0.0007830332736129165,0.0007952545579331649,0.0007952545579331649,0.027133529785635872,AMZN,0.0008114841979922446
1997-11-26,0.0007991139685078284,0.0008346119540781646,0.0008398182238472451,0.0008114841979922446,0.0008114841979922446,0.011012884959842838,AMZN,0.0008232876953800091
1997-11-28,0.000807927725018991,0.0008126098829501153,0.0008039541023564129,0.0007731231691802026,0.0007731231691802026,0.01074709655052869,AMZN,0.0009206658058930423
1997-12-01,0.0007991139685078284,0.0008243442761217466,0.0008099313647310407,0.0008144351398788242,0.0008144351398788242,0.018258508118102503,AMZN,0.0009855845012086387
1997-12-02,0.000804989716523769,0.0008038090544988956,0.000821886163101829,0.0008041071134343496,0.0008041071134343496,0.007465187496388746,AMZN,0.0010077158899616007
1997-12-03,0.0007873622035014438,0.0008243442761217466,0.000824874794289143,0.0008409928063823788,0.0008409928063823788,0.007730975905702896,AMZN,0.0009619776415123869
1997-12-04,0.000844651620824001,0.0008742156821086534,0.0008816596077127053,0.0008793538351944207,0.0008793538351944207,0.024568093834864507,AMZN,0.0010077158899616007
1997-12-05,0.0008549343815827744,0.0008859500752802848,0.0008726935773399972,0.0009059115016979753,0.0009059115016979753,0.020939504246836542,AMZN,0.0010416506410230505
1997-12-08,0.0008843135251242328,0.0009358214812671916,0.0009205124972016177,0.0009383709168954119,0.0009383709168954119,0.04120875946148957,AMZN,0.00105935575202542
1997-12-09,0.0009195685511688833,0.0009358214812671916,0.0009444218203216618,0.0009324691682015299,0.0009324691682015299,0.008135436528572255,AMZN,0.0010032896122110085
